First Name,Last Name,Age,Oscars Nominated,Oscars Won,Occupation
Meryl,Streep,73,21,3,Actress
Leonardo,DiCaprio,48,6,1,Actor
Nicole,Kidman,55,5,1,Actress
Tom,Hanks,66,6,2,Actor
Cate,Blanchett,53,8,2,Actress
Anthony,Hopkins,85,6,2,Actor
Diane,Keaton,77,4,1,Actress
Jack,Nicholson,86,12,3,Actor
Denzel,Washington,68,9,2,Actor
Al,Pacino,83,9,1,Actor
Judi,Dench,88,8,1,Actress
Emma,Thompson,64,5,2,Actress
Daniel,Day-Lewis,66,6,3,Actor
Robert,De Niro,79,8,2,Actor
Dustin,Hoffman,85,7,2,Actor
Glenn,Close,76,8,0,Actress
Jane,Fonda,85,7,2,Actress
Jeff,Bridges,73,7,1,Actor
Robert,Duvall,92,7,1,Actor
Kate,Winslet,47,7,1,Actress
Maggie,Smith,88,6,2,Actress
Ellen,Burstyn,90,6,1,Actress
Amy,Adams,48,6,0,Actress
Sean,Penn,62,5,2,Actor
Susan,Sarandon ,76,5,1,Actress
